a;b;Algorithm;Time
3;3;GT N3;0
3;3;GT N3;0
3;3;GT N3;0
3;3;GT N3;0
3;3;GT N3;0
3;3;GT N3;0
4;4;GT N3;0
4;4;GT N3;0.001
4;4;GT N3;0
5;5;GT N3;0
5;5;GT N3;0
5;5;GT N3;0
6;6;GT N3;0.002
6;6;GT N3;0.001
6;6;GT N3;0.001
8;8;GT N3;0.013
8;8;GT N3;0.013
8;8;GT N3;0.013
10;10;GT N3;0.073
10;10;GT N3;0.071
10;10;GT N3;0.072
13;13;GT N3;0.06
13;13;GT N3;0.06
13;13;GT N3;0.059
16;16;GT N3;0.257
16;16;GT N3;0.26
16;16;GT N3;0.26
20;20;GT N3;0.529
20;20;GT N3;0.53
20;20;GT N3;0.528
25;25;GT N3;33.716
25;25;GT N3;33.354
25;25;GT N3;34.45
32;32;GT N3;61.9
32;32;GT N3;61.877
32;32;GT N3;61.115
40;40;GT N3;112.514
40;40;GT N3;112.802
40;40;GT N3;112.649
