Size;Algorithm;Time
32;KR1992RGR;0.0214161
32;KR1992RGR;0.0169989
32;KR1992RGR;0.0152142
64;KR1992RGR;0.146495
64;KR1992RGR;0.145884
64;KR1992RGR;0.145853
128;KR1992RGR;1.41433
128;KR1992RGR;1.44084
128;KR1992RGR;1.46617
256;KR1992RGR;12.0152
256;KR1992RGR;12.0084
256;KR1992RGR;12.0579
