Size;Algorithm;Time
18;GTDRGR;5.43033e-005
18;GTDRGR;2.69851e-005
18;GTDRGR;2.69851e-005
34;GTDRGR;5.13049e-005
34;GTDRGR;4.56414e-005
34;GTDRGR;4.6974e-005
66;GTDRGR;9.92784e-005
66;GTDRGR;7.46254e-005
66;GTDRGR;7.39591e-005
130;GTDRGR;0.00016924
130;GTDRGR;0.000139589
130;GTDRGR;0.000139256
258;GTDRGR;0.00030783
258;GTDRGR;0.000264853
258;GTDRGR;0.000264853
514;GTDRGR;0.000595337
514;GTDRGR;0.000524043
514;GTDRGR;0.000519712
1026;GTDRGR;0.00117568
1026;GTDRGR;0.00104742
1026;GTDRGR;0.00105575
2050;GTDRGR;0.00236103
2050;GTDRGR;0.00209284
2050;GTDRGR;0.00208018
4098;GTDRGR;0.00480634
4098;GTDRGR;0.00422966
4098;GTDRGR;0.00420501
8194;GTDRGR;0.00981124
8194;GTDRGR;0.00845632
8194;GTDRGR;0.00842301
16386;GTDRGR;0.019223
16386;GTDRGR;0.0173201
16386;GTDRGR;0.0171322
32770;GTDRGR;0.0403956
32770;GTDRGR;0.0357852
32770;GTDRGR;0.0360267
65538;GTDRGR;24.0746
65538;GTDRGR;24.2833
65538;GTDRGR;24.2903
131074;GTDRGR;111.471
131074;GTDRGR;113.116
131074;GTDRGR;113.172
262146;GTDRGR;483.83
