256;GTDGR;0.00400077
256;GTDGR;0.00297801
256;GTDGR;0.00298967
512;GTDGR;0.0168086
512;GTDGR;0.0165555
512;GTDGR;0.0170822
1024;GTDGR;0.0597298
1024;GTDGR;0.059846
1024;GTDGR;0.0596678
2048;GTDGR;0.193838
2048;GTDGR;0.193921
2048;GTDGR;0.194514
4096;GTDGR;0.70503
4096;GTDGR;0.707907
4096;GTDGR;0.70791
8192;GTDGR;2.55038
8192;GTDGR;2.58093
8192;GTDGR;2.56636
16384;GTDGR;7.87408
16384;GTDGR;7.98009
16384;GTDGR;7.9219
32768;GTDGR;40.4162
32768;GTDGR;40.6985
32768;GTDGR;40.6787
65536;GTDGR;261.409
65536;GTDGR;261.769
