6;KR Mod;0.0106281
6;KR Mod;1.76568e-005
6;KR Mod;1.69905e-005
10;KR Mod;4.56413e-005
10;KR Mod;3.23154e-005
10;KR Mod;2.99833e-005
18;KR Mod;0.000181233
18;KR Mod;0.000142587
18;KR Mod;0.000128928
34;KR Mod;0.000722931
34;KR Mod;0.000607662
34;KR Mod;0.000600999
66;KR Mod;0.00339844
66;KR Mod;0.00297768
66;KR Mod;0.00333548
130;KR Mod;0.0232887
130;KR Mod;0.0193992
130;KR Mod;0.0194222
258;KR Mod;0.165095
258;KR Mod;0.172138
258;KR Mod;0.195493
514;KR Mod;1.66945
514;KR Mod;1.58389
514;KR Mod;1.60731
1026;KR Mod;20.3368
1026;KR Mod;19.8729
1026;KR Mod;20.3284
2050;KR Mod;206.738
2050;KR Mod;204.967
2050;KR Mod;203.887
