Size;Algorithm;Time
;GT Dyn;0
;GT Dyn;0
;GT Dyn;0.001
;GT Dyn;GT Dyn;0.001
;GT Dyn;GT Dyn;0
;GT Dyn;GT Dyn;0
;GT Dyn;GT Dyn;GT Dyn;0.001
;GT Dyn;GT Dyn;GT Dyn;0
;GT Dyn;GT Dyn;GT Dyn;0
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.001
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.001
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.002
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.006
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.005
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.006
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.025
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.025
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.025
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.101
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.101
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.101
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.432
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.434
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;0.431
;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;GT Dyn;1.685
