Size;Algorithm;Time
;GT N3;0
;GT N3;0
;GT N3;0.001
;GT N3;GT N3;0
;GT N3;GT N3;0.001
;GT N3;GT N3;0
;GT N3;GT N3;GT N3;0
;GT N3;GT N3;GT N3;0
;GT N3;GT N3;GT N3;0
;GT N3;GT N3;GT N3;GT N3;0.001
;GT N3;GT N3;GT N3;GT N3;0.001
;GT N3;GT N3;GT N3;GT N3;0.001
;GT N3;GT N3;GT N3;GT N3;GT N3;0.005
;GT N3;GT N3;GT N3;GT N3;GT N3;0.005
;GT N3;GT N3;GT N3;GT N3;GT N3;0.005
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.021
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.021
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.021
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.084
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.085
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.085
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.396
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.389
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;0.39
;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;GT N3;1.567
