Size;Algorithm;Time
;KR Mod Dyn;0.001
;KR Mod Dyn;0.001
;KR Mod Dyn;0
;KR Mod Dyn;KR Mod Dyn;0.002
;KR Mod Dyn;KR Mod Dyn;0.001
;KR Mod Dyn;KR Mod Dyn;0.001
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.008
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.007
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.006
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.039
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.03
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.03
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.203
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.17
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.17
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.899
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.845
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;0.777
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;4.13
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;3.885
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;3.612
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;18.629
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;14.154
;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;KR Mod Dyn;16.363
