Size;Algorithm;Time
;KR Mod;0
;KR Mod;0
;KR Mod;0
;KR Mod;KR Mod;0.001
;KR Mod;KR Mod;0.001
;KR Mod;KR Mod;0.002
;KR Mod;KR Mod;KR Mod;0.007
;KR Mod;KR Mod;KR Mod;0.006
;KR Mod;KR Mod;KR Mod;0.005
;KR Mod;KR Mod;KR Mod;KR Mod;0.037
;KR Mod;KR Mod;KR Mod;KR Mod;0.028
;KR Mod;KR Mod;KR Mod;KR Mod;0.028
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;0.227
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;0.203
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;0.194
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;0.793
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;0.965
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;0.663
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;3.632
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;4.349
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;3.111
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;22.36
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;16.027
;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;KR Mod;20.114
