Size;Algorithm;Time
18;KR1992MDRGR;8.39535e-005
18;KR1992MDRGR;5.46364e-005
18;KR1992MDRGR;5.83011e-005
34;KR1992MDRGR;9.22823e-005
34;KR1992MDRGR;8.06221e-005
34;KR1992MDRGR;7.89563e-005
66;KR1992MDRGR;0.000184231
66;KR1992MDRGR;0.000146919
66;KR1992MDRGR;0.000144254
130;KR1992MDRGR;0.000339479
130;KR1992MDRGR;0.000309495
130;KR1992MDRGR;0.000308829
258;KR1992MDRGR;0.000693616
258;KR1992MDRGR;0.000607997
258;KR1992MDRGR;0.000627986
514;KR1992MDRGR;0.00145286
514;KR1992MDRGR;0.00134925
514;KR1992MDRGR;0.00134026
1026;KR1992MDRGR;0.00323055
1026;KR1992MDRGR;0.00298701
1026;KR1992MDRGR;0.00306864
2050;KR1992MDRGR;0.00777603
2050;KR1992MDRGR;0.0073416
2050;KR1992MDRGR;0.007232
4098;KR1992MDRGR;0.0205936
4098;KR1992MDRGR;0.0194826
4098;KR1992MDRGR;0.0196478
8194;KR1992MDRGR;0.0606401
8194;KR1992MDRGR;0.059096
8194;KR1992MDRGR;0.0588828
16386;KR1992MDRGR;0.200004
16386;KR1992MDRGR;0.196643
16386;KR1992MDRGR;0.197091
32770;KR1992MDRGR;0.702769
32770;KR1992MDRGR;0.695832
32770;KR1992MDRGR;0.695922
65538;KR1992MDRGR;2.60177
65538;KR1992MDRGR;2.58931
65538;KR1992MDRGR;2.59206
131074;KR1992MDRGR;9.95701
131074;KR1992MDRGR;9.93203
131074;KR1992MDRGR;9.93351
262146;KR1992MDRGR;38.941
262146;KR1992MDRGR;38.8739
262146;KR1992MDRGR;38.8777
524290;KR1992MDRGR;153.665
524290;KR1992MDRGR;153.621
524290;KR1992MDRGR;153.539
