;GR;0.046
;GR;0.047
;GR;0.047
;GR;GR;0.117
;GR;GR;0.117
;GR;GR;0.117
;GR;GR;GR;0.337
;GR;GR;GR;0.345
;GR;GR;GR;0.341
;GR;GR;GR;GR;0.93
;GR;GR;GR;GR;0.935
;GR;GR;GR;GR;0.92
;GR;GR;GR;GR;GR;2.434
;GR;GR;GR;GR;GR;2.44
;GR;GR;GR;GR;GR;2.439
;GR;GR;GR;GR;GR;GR;6.05
;GR;GR;GR;GR;GR;GR;5.983
;GR;GR;GR;GR;GR;GR;6.049
;GR;GR;GR;GR;GR;GR;GR;13.689
;GR;GR;GR;GR;GR;GR;GR;13.832
;GR;GR;GR;GR;GR;GR;GR;13.794
;GR;GR;GR;GR;GR;GR;GR;GR;27.056
;GR;GR;GR;GR;GR;GR;GR;GR;27.116
;GR;GR;GR;GR;GR;GR;GR;GR;27.085
;GR;GR;GR;GR;GR;GR;GR;GR;GR;93.416
;GR;GR;GR;GR;GR;GR;GR;GR;GR;93.589
;GR;GR;GR;GR;GR;GR;GR;GR;GR;93.582
;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;210.727
;GR;GR;GR;GR;GR;GR;GR;GR;GR;GR;210.587
