6;GTDGR;4.13105e-005
6;GTDGR;1.26597e-005
6;GTDGR;9.99447e-006
10;GTDGR;2.8984e-005
10;GTDGR;2.26541e-005
10;GTDGR;1.93226e-005
18;GTDGR;9.46143e-005
18;GTDGR;6.22989e-005
18;GTDGR;7.29596e-005
34;GTDGR;0.000413105
34;GTDGR;0.000330151
34;GTDGR;0.000330151
66;GTDGR;0.00266453
66;GTDGR;0.00233171
66;GTDGR;0.00235703
130;GTDGR;0.0245597
130;GTDGR;0.0231062
130;GTDGR;0.0230802
258;GTDGR;0.153131
258;GTDGR;0.14773
258;GTDGR;0.142965
514;GTDGR;1.55412
514;GTDGR;1.54162
514;GTDGR;1.53954
1026;GTDGR;20.7944
1026;GTDGR;20.8848
1026;GTDGR;20.8908
2050;GTDGR;178.24
2050;GTDGR;179.118
2050;GTDGR;179.218
