Size;Algorithm;Time
32;KR;0.0137221
32;KR;0.0135032
32;KR;0.0137067
64;KR;0.147982
64;KR;0.14635
64;KR;0.14599
128;KR;1.17221
128;KR;1.17237
128;KR;1.17177
256;KR;9.81331
256;KR;9.4871
256;KR;9.49104
