Size;Algorithm;Time;;;;;;;;;;;
18;EK;0;;;;;;;;;;;
18;EK;0;;;;Size;EK;Dinic;GT N3;GT Dyn;KR1992;KR Mod;GR
66;GT Dyn;0;;;;;;;;;;;
66;GT Dyn;0;0;;;;;;;;;;
66;KR1992;0.011;;;;;;;;;;;
66;KR1992;0.012;;;;;;;;;;;
66;KR1992;0.011;0.011333333;;;;;;;;;;
66;KR Mod;0;;;;;;;;;;;
66;KR Mod;0;;;;;;;;;;;
66;KR Mod;0.001;0.000333333;;;;;;;;;;
66;GR;0.003;;;;;;;;;;;
66;GR;0.003;;;;;;;;;;;
66;GR;0.004;0.003333333;;;;;;;;;;
130;EK;0;;;;;;;;;;;
130;EK;0;;;;;;;;;;;
130;EK;0;0;;;;;;;;;;
130;Dinic;0.001;;;;;;;;;;;
130;Dinic;0;;;;;;;;;;;
130;Dinic;0;0.000333333;;;;;;;;;;
130;GT N3;0;;;;;;;;;;;
130;GT N3;0;;;;;;;;;;;
130;GT N3;0;0;;;;;;;;;;
130;GT Dyn;0.001;;;;;;;;;;;
130;GT Dyn;0;;;;;;;;;;;
130;GT Dyn;0;0.000333333;;;;;;;;;;
130;KR1992;0.052;;;;;;;;;;;
130;KR1992;0.052;;;;;;;;;;;
130;KR1992;0.051;0.051666667;;;;;;;;;;
130;KR Mod;0.001;;;;;;;;;;;
130;KR Mod;0;;;;;;;;;;;
130;KR Mod;0;0.000333333;;;;;;;;;;
130;GR;0.008;;;;;;;;;;;
130;GR;0.008;;;;;;;;;;;
130;GR;0.009;0.008333333;;;;;;;;;;
258;EK;0;;;;;;;;;;;
258;EK;0.001;;;;;;;;;;;
258;EK;0;0.000333333;;;;;;;;;;
258;Dinic;0.001;;;;;;;;;;;
258;Dinic;0.001;;;;;;;;;;;
258;Dinic;0.001;0.001;;;;;;;;;;
258;GT N3;0;;;;;;;;;;;
258;GT N3;0;;;;;;;;;;;
258;GT N3;0.001;0.000333333;;;;;;;;;;
258;GT Dyn;0.001;;;;;;;;;;;
258;GT Dyn;0.001;;;;;;;;;;;
258;GT Dyn;0.001;0.001;;;;;;;;;;
258;KR1992;0.206;;;;;;;;;;;
258;KR1992;0.204;;;;;;;;;;;
258;KR1992;0.21;0.206666667;;;;;;;;;;
258;KR Mod;0.001;;;;;;;;;;;
258;KR Mod;0.001;;;;;;;;;;;
258;KR Mod;0.001;0.001;;;;;;;;;;
258;GR;0.029;;;;;;;;;;;
258;GR;0.029;;;;;;;;;;;
258;GR;0.029;0.029;;;;;;;;;;
514;EK;0.002;;;;;;;;;;;
514;EK;0.002;;;;;;;;;;;
514;EK;0.002;0.002;;;;;;;;;;
514;Dinic;0.004;;;;;;;;;;;
514;Dinic;0.004;;;;;;;;;;;
514;Dinic;0.004;0.004;;;;;;;;;;
514;GT N3;0.001;;;;;;;;;;;
514;GT N3;0.001;;;;;;;;;;;
514;GT N3;0.002;0.001333333;;;;;;;;;;
514;GT Dyn;0.002;;;;;;;;;;;
514;GT Dyn;0.002;;;;;;;;;;;
514;GT Dyn;0.002;0.002;;;;;;;;;;
514;KR1992;0.81;;;;;;;;;;;
514;KR1992;0.79;;;;;;;;;;;
514;KR1992;0.793;0.797666667;;;;;;;;;;
514;KR Mod;0.004;;;;;;;;;;;
514;KR Mod;0.004;;;;;;;;;;;
514;KR Mod;0.003;0.003666667;;;;;;;;;;
514;GR;0.078;;;;;;;;;;;
514;GR;0.078;;;;;;;;;;;
514;GR;0.078;0.078;;;;;;;;;;
1026;EK;0.009;;;;;;;;;;;
1026;EK;0.009;;;;;;;;;;;
1026;EK;0.008;0.008666667;;;;;;;;;;
1026;Dinic;0.017;;;;;;;;;;;
1026;Dinic;0.016;;;;;;;;;;;
1026;Dinic;0.016;0.016333333;;;;;;;;;;
1026;GT N3;0.005;;;;;;;;;;;
1026;GT N3;0.005;;;;;;;;;;;
1026;GT N3;0.005;0.005;;;;;;;;;;
1026;GT Dyn;0.005;;;;;;;;;;;
1026;GT Dyn;0.005;;;;;;;;;;;
1026;GT Dyn;0.005;0.005;;;;;;;;;;
1026;KR1992;3.164;;;;;;;;;;;
1026;KR1992;3.32;;;;;;;;;;;
1026;KR1992;3.143;3.209;;;;;;;;;;
1026;KR Mod;0.016;;;;;;;;;;;
1026;KR Mod;0.016;;;;;;;;;;;
1026;KR Mod;0.016;0.016;;;;;;;;;;
1026;GR;0.274;;;;;;;;;;;
1026;GR;0.274;;;;;;;;;;;
1026;GR;0.274;0.274;;;;;;;;;;
2050;EK;0.039;;;;;;;;;;;
2050;EK;0.038;;;;;;;;;;;
2050;EK;0.038;0.038333333;;;;;;;;;;
2050;Dinic;0.074;;;;;;;;;;;
2050;Dinic;0.074;;;;;;;;;;;
2050;Dinic;0.074;0.074;;;;;;;;;;
2050;GT N3;0.018;;;;;;;;;;;
2050;GT N3;0.017;;;;;;;;;;;
2050;GT N3;0.017;0.017333333;;;;;;;;;;
2050;GT Dyn;0.015;;;;;;;;;;;
2050;GT Dyn;0.015;;;;;;;;;;;
2050;GT Dyn;0.014;0.014666667;;;;;;;;;;
2050;KR1992;13.424;;;;;;;;;;;
2050;KR1992;12.476;;;;;;;;;;;
2050;KR1992;13.161;13.02033333;;;;;;;;;;
2050;KR Mod;0.067;;;;;;;;;;;
2050;KR Mod;0.062;;;;;;;;;;;
2050;KR Mod;0.061;0.063333333;;;;;;;;;;
2050;GR;0.763;;;;;;;;;;;
2050;GR;0.765;;;;;;;;;;;
2050;GR;0.764;0.764;;;;;;;;;;
