Size;Algorithm;Time
32;EK;0
32;EK;0
32;EK;0
64;EK;0
64;EK;0.001
64;EK;0
128;EK;0.003
128;EK;0.003
128;EK;0.003
256;EK;0.022
256;EK;0.022
256;EK;0.021
512;EK;0.142
512;EK;0.141
512;EK;0.14
1024;EK;1.967
1024;EK;1.96
1024;EK;1.946
2048;EK;17.706
2048;EK;17.752
2048;EK;17.908
