6;KR Mod Dyn;0
6;KR Mod Dyn;0
6;KR Mod Dyn;0
10;KR Mod Dyn;0
10;KR Mod Dyn;0
10;KR Mod Dyn;0
18;KR Mod Dyn;0
18;KR Mod Dyn;0
18;KR Mod Dyn;0
34;KR Mod Dyn;0
34;KR Mod Dyn;0
34;KR Mod Dyn;0
66;KR Mod Dyn;0
66;KR Mod Dyn;0.016
66;KR Mod Dyn;0
130;KR Mod Dyn;0.031
130;KR Mod Dyn;0.031
130;KR Mod Dyn;0.015
258;KR Mod Dyn;0.156
258;KR Mod Dyn;0.141
258;KR Mod Dyn;0.14
514;KR Mod Dyn;1.06
514;KR Mod Dyn;1.045
514;KR Mod Dyn;1.045
1026;KR Mod Dyn;11.278
1026;KR Mod Dyn;11.138
1026;KR Mod Dyn;11.138
2050;KR Mod Dyn;103.21
2050;KR Mod Dyn;102.649
2050;KR Mod Dyn;102.632
4098;KR Mod Dyn;879.872
4098;KR Mod Dyn;886.113
