a;b;Algorithm;Time
3;2;KR;0.001
3;2;KR;0.001
3;2;KR;0.001
4;2;KR;0.003
4;2;KR;0.003
4;2;KR;0.004
5;2;KR;0.008
5;2;KR;0.008
5;2;KR;0.008
7;3;KR;0.101
7;3;KR;0.1
7;3;KR;0.099
9;3;KR;0.274
9;3;KR;0.274
9;3;KR;0.277
12;3;KR;0.937
12;3;KR;0.939
12;3;KR;0.934
16;4;KR;5.569
16;4;KR;5.504
16;4;KR;5.573
21;5;KR;390.744
21;5;KR;335.918
